,tarih,city,city2,title,content,suc_turu
4363,2024-09-05 00:00:00,lice,diyarbakır,Diyarbakır'da 536 Kilo Esrar Ele Geçirildi,"  Diyarbakır'ın Lice ilçesinde gerçekleştirilen operasyonlarda, bölücü terör örgütü ile yasadışı uyuşturucu üretimi ve ticareti yapanlar arasındaki bağ ortaya çıkarıldı. Operasyonlarda, Yorulmaz ve Yalaza mahallelerinde bulunan 2 farklı noktada toplam 536 kilogram esrar ele geçirildi.  ",Narkotik Suçları
4364,2024-03-14 00:00:00,lice,diyarbakır,Lice'de terör operasyonu: 11 sığınak imha edildi,"  Diyarbakır'ın Lice ilçesinde jandarmanın düzenlediği terör operasyonunda 11 adet sığınak içindeki yaşam malzemeleriyle imha edildi. Operasyonda çok sayıda silah, uyuşturucu madde ve yaşam malzemesi ele geçirildi.  ",Düzen ve Kamu Güvenliğine Karşı İşlenen Suçlar
4365,2024-12-09 00:00:00,lice,diyarbakır,Lice'de Narko-Terör Operasyonu: 15 Milyon Kök Kenevir Ele Geçirildi,"  Diyarbakır'ın Lice ilçesinde düzenlenen operasyonlarda 15 milyon 882 bin kök kenevir ile 2,5 ton esrar ele geçirildi. 36 şüpheli gözaltına alındı.  ",Narkotik Suçları
4366,2024-11-10 00:00:00,lüleburgaz,kırklareli,Büyükkarıştıran Belediyesi'nde İşten Çıkarılan İşçiler Eylemde,"  Kırklareli'nin Lüleburgaz ilçesine bağlı Büyükkarıştıran Belediyesi'nde haksız yere işten çıkarıldıklarını iddia eden 3 işçi, belediye önünde eylem yaparak durumu protesto etti. DİSK Genel-İş Sendikası temsilcisi işten çıkarmaların hukuksuz olduğunu vurguladı ve işçilerin haklarını savunacaklarını bildirdi.  ",Düzen ve Kamu Güvenliğine Karşı İşlenen Suçlar
4370,2024-10-11 00:00:00,lüleburgaz,kırklareli,Tren-Otomobil Çarpıştı: 2 Yaralı,"  Kırklareli'de hemzemin geçitte trenle otomobil çarpıştı, 2 kişi yaralandı. Sürücü hastaneye kaldırıldı.  ",Şiddet Suçları
4376,2024-11-20 00:00:00,maden,elâzığ,Çayırhan'da 500 Madenci Özelleştirmeye Karşı Eylemde,  Çayırhan Termik Santrali maden işçileri özelleştirme kararına karşı kendilerini madene kapattı.  ,Düzen ve Kamu Güvenliğine Karşı İşlenen Suçlar
4384,2022-03-04 00:00:00,mahmudiye,eskişehir,Sit alanında kaçak kazıya suçüstü: 3 gözaltı,  ESKİŞEHİR'de define bulma amacıyla birinci derece sit alanında kaçak kazı yapan 3 şüpheli jandarma ekiplerince yakalandı.  ,Mala Karşı İşlenen Suçlar
4385,2022-03-26 00:00:00,mahmudiye,eskişehir,"Belediye başkanına, Türkiye Hayvanları Koruma Vakfı Başkanı'na hakaretten hapis istemi","  ESKİŞEHİR'de, geçen yıl, sokak hayvanlarının zehirlenmesi olayıyla ilgili, Türkiye Hayvanları Koruma Vakfı Başkanı Erman Paçalı'ya sosyal medyadan hakaret ettiği iddiasıyla, Mahmudiye Belediye Başkanı İshak Gündoğan hakkında 3 aydan 2 yıla kadar hapis cezası talebiyle dava açıldı.  ",Şiddet Suçları
4389,2024-10-22 00:00:00,mahmudiye,eskişehir,MİT görevlisi sahtekarlığına iki gözaltı,"  Eskişehir'de kendilerini MİT görevlisi tanıtan dolandırıcılar, gözaltına alındı ve 11,6 bin dolar bulundu.  ",Ekonomik Suçlar
4390,2024-11-11 00:00:00,malatya,malatya,Malatya'da Kaçakçılık Operasyonu,"  Malatya'da polis, 2.38 milyon makaron ve silah ele geçirerek 1 şüpheliyi gözaltına aldı.  ",Ekonomik Suçlar
4394,2024-11-19 00:00:00,malatya,malatya,Malatya'da Skunk Ele Geçirildi,"  Malatya'da şüpheli araçta 11.65 kg skunk bulundu, 3 kişi tutuklandı.  ",Narkotik Suçları
4396,2024-11-11 00:00:00,malatya,malatya,Malatya'da Kaçak Makaron Ele Geçirildi,  Malatya'da yapılan operasyonda 2.38 milyon makaron ve silah ele geçirilirken 1 kişi gözaltına alındı.  ,Mala Karşı İşlenen Suçlar
4402,2024-09-23 00:00:00,malazgirt,muş,Pendik'te Silahlı Kavga: 1 Yaralı,"  Pendik'te çıkan silahlı kavgada bir kişi bacağından yaralandı, polis inceleme başlattı.  ",Şiddet Suçları
4406,2024-12-09 00:00:00,malkara,tekirdağ,Malkara'da Bebekte Cinsel İstismar Şüphesi,"  Tekirdağ'ın Malkara ilçesinde ailesinin hastaneye götürdüğü S.Y.'nin (2) beyin kanaması geçirdiği ve vücudunda morluklar olduğu tespit edilmesi üzerine başlatılan soruşturma kapsamında tutuklu sayısı 5'e çıktı. Cinsel istismara uğradığı ortaya çıkan bebeğin annesi Bakiye Yeniçeri ile komşularının 13 ve 14 yaşındaki çocuklarının ardından, kadının dini nikahla birlikte yaşadığı Sanlı Ö. (33) ile komşusu Kani A. (35) da tutuklandı.  ",Şiddet Suçları
4407,2024-11-09 00:00:00,malkara,tekirdağ,Tekirdağ'da 2 yaşındaki bebeğe cinsel istismar! Anne ve 2 komşu çocuğu tutuklandı,"  Tekirdağ'ın Malkara ilçesinde şiddete uğradığı iddia edilen ve götürüldüğü Tekirdağ İsmail Fehmi Cumalıoğlu Şehir Hastanesi'nde beyin kanaması geçirdiği belirlenen S.Y., ameliyat edildikten sonra yoğun bakım ünitesine alındı. Soruşturma kapsamında bebeğin annesi Bakiye Yeniçeri ile çocuğun emanet edildiği komşularının 13 ve 14 yaşındaki çocukları tutuklanıp, cezaevine konuldu.  ",Şiddet Suçları
4408,2024-09-16 00:00:00,malkara,tekirdağ,Malkara'da Bebeğe İstismar: 5 Zanlı Tutuklandı,"  Tekirdağ'da 2 yaşındaki bebeğe cinsel istismar davasında beş zanlı tutuklandı, bebeğin durumu kritik.  ",Şiddet Suçları
4409,2024-10-09 00:00:00,malkara,tekirdağ,Malkara'da 2 Yaşındaki Çocuğa Darp İddiası,  Tekirdağ'ın Malkara ilçesinde 2 yaşındaki bir çocuk darp edildiği iddiasıyla hastaneye kaldırılırken çocuğun annesi ise adliyeye sevk edildi. Olayla ilgili soruşturma devam ediyor.  ,Şiddet Suçları
4410,2024-11-09 00:00:00,malkara,tekirdağ,2 yaşındaki bebeğe istismar şüphesi! Anne dışında 2 kişi daha tutuklandı,"  Tekirdağ'ın Malkara ilçesinde darbedildiği iddia edilen 2 yaşındaki bebek yoğun bakım ünitesinde yaşam mücadelesi veriyor. Annenin komşularını hedef göstermesinin ardından 2 kişi daha tutuklandı, böylece tutuklu sayısı 3'e yükseldi.  ",Şiddet Suçları
4412,2024-08-10 00:00:00,malkara,tekirdağ,2 Yaşındaki Sıla'nın Hayat Mücadelesi Son Buldu,"  Cinsel istismara uğrayan 2 yaşındaki Sıla Yeniçeri, hastanede 1 aylık yaşam savaşını kaybetti.  ",Şiddet Suçları
4421,2024-04-11 00:00:00,maltepe,i̇stanbul,Maltepe Meclisinde Gerilim: 'PKK'yı mı Savunuyorsunuz?',"  Maltepe Belediyesi'nin Kasım ayı Meclis Toplantısı'nda AK Parti Meclis Üyesi Yusuf Özgün'ün CHP'li meclis üyelerine yönelik 'PKK'yı mı savunuyorsunuz?' sözleri gerginlik yarattı. Belediye Başkanı Esin Köymen, meclis üyelerini terörle ilişkilendiren ifadeleri kınadı.  ",Düzen ve Kamu Güvenliğine Karşı İşlenen Suçlar
4422,2024-08-15 00:00:00,mamak,ankara,"Boşanma Aşamasındaki Eşiyle Tartışan Adam, Otomobilde İntihar Etti","  Ankara'nın Mamak ilçesinde, boşanma aşamasındaki eşiyle tartışan bir adam, otomobilde tabancayla eşini öldürdükten sonra intihar etti. Olay sonucunda çift hayatını kaybetti.  ",Şiddet Suçları
4424,2024-07-10 00:00:00,mamak,ankara,Ankara'da Uyuşturucu Operasyonu,"  Ankara'da polis, yol uygulamasında 2 şüpheliyi 18 bin 368 sentetik ecza ile yakaladı.  ",Narkotik Suçları
4428,2024-08-10 00:00:00,mamak,ankara,Camide Gönüllü Temizlik Yapan Yaşlı Adam Dövüldü,"  Mamak'ta 81 yaşındaki Halil Şahin, camide temizlik yaparken G.A. tarafından ağır şekilde dövüldü.  ",Şiddet Suçları
4429,2024-08-31 00:00:00,mamak,ankara,Ankara'da bitişik haldeki kereste ve polyester üretimi yapılan iş yerlerinde yangın çıktı,"  Ankara'nın Mamak ilçesinde bulunan Mermerciler Sitesi'nde, bitişik haldeki kereste ve polyester üretimi yapılan dükkanlarda bilinmeyen bir nedenle yangın çıktı. İtfaiye ekiplerinin müdahalesiyle yangın kontrol altına alınarak söndürüldü, ancak iki iş yerinde de hasar meydana geldi.  ",Mala Karşı İşlenen Suçlar
4431,2024-11-16 00:00:00,manavgat,antalya,İngiliz Turistlerin ATV Kazasında Gazeteciye Saldırı,  Antalya'da ATV kazasının ardından gazeteciye saldıran İngiliz turistler görüntü almasını engellemeye çalıştı.  ,Şiddet Suçları
4432,2024-11-11 00:00:00,manavgat,antalya,Manavgat'ta Motosiklet Kazası: 2 Yaralı,"  Antalya'nın Manavgat ilçesinde, kayganlaşan yolda kontrolden çıkan bir motosiklet devrildi. Kazada 2 kişi yaralandı ve sağlık ekipleri olay yerinde müdahale etti.  ",Şiddet Suçları
4436,2024-12-11 00:00:00,manavgat,antalya,Manavgat'ta Kumar ve Uyuşturucu Operasyonu,"  178 şahıs yakalandı, 48'i tutuklandı; silah ve uyuşturucu ele geçirildi.  ",Narkotik Suçları
4444,2024-11-21 00:00:00,manisa,manisa,Turgutlu'da Havaya Ateş Açan 5 Şüpheli Tutuklandı,"  Manisa'nın Turgutlu ilçesinde, sosyal medya üzerinden havaya ateş açan 5 şüpheli, düzenlenen operasyonla yakalanarak tutuklandı.  ",Şiddet Suçları
4456,2024-11-16 00:00:00,mardin,mardin,"Midyat'ta 'En iyi narkotik polisi, anne' Projesi Tanıtıldı","  Mardin'in Midyat ilçesinde, Kanal D'nin 'Uzak Şehir' dizisi oyuncularının katıldığı etkinlikte, İçişleri Bakanlığı'nın 'En iyi narkotik polisi, anne' projesi tanıtıldı. Proje, çocukların uyuşturucu kullanımını önlemeyi ve anneleri bilinçlendirmeyi amaçlıyor.  ",Narkotik Suçları
4462,2024-10-28 00:00:00,marmara,balıkesir,Yaşam Savaşını Kaybetti,"  86 yaşındaki kadın, otoyolda meydana gelen kazada ağır yaralanarak hastanede hayatını kaybetti.  ",Şiddet Suçları
4471,2021-03-28 00:00:00,marmara ereğlisi,tekirdağ,Sevgilisini öldürüp tarlaya gömdü! Pişman olunca cesedi çıkarmak için yardım istediği kepçe operatörünün ihbarıyla yakayı ele verdi,  Tekirdağ'ın Marmara Ereğlisi ilçesinde Kemal K. ilişkisi olduğu Yeter Yılmaz'ı başından tabanca ile vurarak öldürdükten sonra çukura gömdü. Cinayetten pişmanlık duyan Kemal K.'nin çukuru açmak için kiraladığı iş makinesi operatörünün ihbarıyla ortaya çıkan cinayetle ilgili 3 kişi gözaltına alındı.  ,Şiddet Suçları
4480,2024-10-31 00:00:00,marmaris,muğla,Marmaris'te Boşanma Kavgası Kanlı Bitti,"  Yasemin Yorulmaz, eşi tarafından sırtından bıçaklanarak hayatını kaybetti. Olayla ilgili soruşturma başlatıldı.  ",Şiddet Suçları
4483,2024-03-11 00:00:00,marmaris,muğla,Marmaris'te Boşanma Aşamasındaki Kadın Cinayeti,"  Yasemin Yorulmaz, eşi Tuncay Yorulmaz tarafından onurunu kırdığı gerekçesiyle öldürüldü.  ",Şiddet Suçları
4490,2022-11-23 00:00:00,mazgirt,tunceli,Tunceli'de PKK'lı teröristlerce şehit edilen 6 öğretmen anıldı,"  Tunceli'nin Mazgirt ilçesinde, 11 Eylül 1994 yılında PKK'lı teröristlerce şehit edilen 6 öğretmen için anma programı düzenlendi.  ",Düzen ve Kamu Güvenliğine Karşı İşlenen Suçlar
4495,2024-10-09 00:00:00,mazıdağı,mardin,Öğretmene Saldırı: İki Kardeş Gözaltında,"  Mardin'in Mazıdağı ilçesinde bir anaokulunun bahçesinde nöbetçi öğretmen Yusuf E., 'kapı açma' nedeniyle tartıştığı biri amatör boksör 2 kardeş tarafından darbedildi. Olay güvenlik kamerasına yansırken, 2 kardeş de gözaltına alındı.  ",Şiddet Suçları
4498,2024-03-22 00:00:00,mazıdağı,mardin,Mardin'de Polis Ekipleri Vatandaşları Dolandırıcılığa Karşı Uyardı,"  Mardin'in Mazıdağı ilçesinde polis ekipleri, telefon ve internet dolandırıcılığına karşı vatandaşları bilgilendirdi. Mazıdağı İlçe Emniyet Amirliği ekipleri, vatandaşları tanınmayan ve resmi olmayan numaralardan gelen çağrı ve mesajlara itibar etmemeleri, kişisel bilgi ve kart bilgilerini paylaşmamaları konusunda uyardı.  ",Ekonomik Suçlar
4499,2024-03-21 00:00:00,mazıdağı,mardin,Mardin'de hafif ticari araç takla attı: 4 yaralı,"  Mardin'in Mazıdağı ilçesinde meydana gelen trafik kazasında, bir hafif ticari araç takla attı ve 4 kişi yaralandı. Kazanın ardından olay yerine sağlık, itfaiye ve jandarma ekipleri sevk edildi. Yaralılar, yapılan ilk müdahalenin ardından hastaneye kaldırıldı. Jandarma ekipleri kazayla ilgili inceleme başlattı.  ",Şiddet Suçları
4507,2020-10-25 00:00:00,maçka,trabzon,Son dakika haberi... Tünel inşaatında akıma kapılan operatör yardımcısı öldü,"  Bir son dakika haberine göre TRABZON'un Maçka ilçesinde, yapımı süren tünel inşaatında elektrik akımına kapılan operatör yardımcısı Abdullah Demirtürk (25), hayatını kaybetti.  ",Şiddet Suçları
4512,2023-09-21 00:00:00,mecitözü,çorum,"Çorum'un Mecitözü ilçesinde çıkan yangında 2 ev, samanlık ve ahır kullanılamaz hale geldi","  Çorum'un Mecitözü ilçesinde çıkan yangında 2 ev, samanlık ve ahır kullanılamaz hale geldi. Yangın sonucu 2 ev, samanlık ve ahırda zarar oluştu.  ",Mala Karşı İşlenen Suçlar
4513,2023-04-24 00:00:00,mecitözü,çorum,Çorum'da Düğünde Maganda Kurşunuyla Öldürülen Vatandaş,  Çorum'un Mecitözü ilçesinde düğünde başına maganda kurşunu isabet eden vatandaş hayatını kaybetti. Olayda jandarma ekipleri şüpheliyi arıyor.  ,Şiddet Suçları
4517,2022-02-11 00:00:00,mecitözü,çorum,Çorum'daki trafik kazasında biri hamile 3 kişi hayatını kaybetti,"  Çorum'da iki otomobilin çarpışması sonucu meydana gelen trafik kazasında 3 aylık hamile kadın, 6 yaşındaki kızı ve akrabası olmak üzere 3 kişi hayatını kaybetti.  ",Şiddet Suçları
4518,2024-11-23 00:00:00,melikgazi,kayseri,Kayseri'de Otomobil ile Kamyonet Çarpıştı: 6 Yaralı,  Kayseri'nin Melikgazi ilçesinde meydana gelen kazada otomobil ile kamyonetin çarpışması sonucu 6 kişi yaralandı. Olay yerine sağlık ve polis ekipleri sevk edildi.  ,Şiddet Suçları
4520,2024-10-24 00:00:00,melikgazi,kayseri,Kayseri'de Cinayet: 19 Yıl Hapis Cezası,  Eniştesini vurarak üzerinden geçen Yener K.'ya 19 yıl 6 ay 15 gün hapis cezası verildi.  ,Şiddet Suçları
4521,2024-11-13 00:00:00,melikgazi,kayseri,Kayseri'de Merdiven Kazası: 59 Yaşındaki Z.K. Hayatını Kaybetti,"  Kayseri'de merdivenlerden düşen 59 yaşındaki Z.K., hastanede yaşamını yitirdi. Soruşturma başlatıldı.  ",Şiddet Suçları
4523,2024-07-11 00:00:00,melikgazi,kayseri,Kayseri'de Fırına Tüfekli Saldırı,"  Kayseri'de motosikletli kişiler fırına tüfekle ateş açtı, polis zanlıları arıyor.  ",Şiddet Suçları
4524,2024-08-11 00:00:00,melikgazi,kayseri,Kayseri'de Fırına Silahlı Saldırı,"  Kayseri'de bir fırın, motosikletli iki kişi tarafından kurşunlandı. Saldırı güvenlik kameralarına yansıdı.  ",Şiddet Suçları
4528,2024-08-13 00:00:00,menderes,i̇zmir,İzmir'de kanuna aykırı inşa edilen 156 hobi bahçesinin yıkımı öncesi gerginlik yaşandı,  İzmir'in Menderes ilçesinde kanuna aykırı inşa edilen 156 hobi bahçesinin yıkım işlemi öncesi gerginlik yaşandı. Belediye tarafından vatandaşlara ek süre tanındı.  ,Mala Karşı İşlenen Suçlar
4531,2024-09-19 00:00:00,menderes,i̇zmir,Ceylanpınar'da Kuzen Cinayeti,"  Menderes Demirtaş, kuzeni Yasin Demirtaş'ı tüfekle vurarak öldürdü. Olayın nedeni tartışma.  ",Şiddet Suçları
4542,2024-07-14 00:00:00,mengen,bolu,Trafikte tartıştığı 3 kişiyi döve döve hastanelik etti: Ufak bir sürtüşme yaşandı,"  Bolu'da milli sporcu Halit Şahin, trafikte eşine hakaret eden 3 erkeği döverek hastanelik etti. Olay sonrası konuşan Şahin, ''Ufak bir sürtüşme yaşandı. 3 kişi hastanelik oldu.'' ifadelerini kullandı.  ",Şiddet Suçları
4543,2024-11-01 00:00:00,mengen,bolu,Bolu'da 3 Katlı Ahşap Ev Küle Döndü,"  Bolu'nun Mengen ilçesinde Kadir Özer'e ait 3 katlı ahşap evde çıkan yangın, itfaiye ekiplerinin müdahalesiyle söndürüldü. Ancak ev kullanılamaz hale geldi ve küle döndü.  ",Mala Karşı İşlenen Suçlar
4549,2024-09-24 00:00:00,mengen,bolu,Mengen'de Ambulans ile Trafik Kazası,"  Mengen'de ambulansla çarpışan hafif ticari araçta sürücü yaralandı, olay yerine sağlık ekipleri sevk edildi.  ",Şiddet Suçları
4551,2024-10-22 00:00:00,menteşe,muğla,Bodrum'da Uyuşturucu Operasyonu: 7 Gözaltı,  Muğla'da düzenlenen operasyonda 409 gram metamfetamin ve 168 gram esrar ele geçirildi.  ,Narkotik Suçları
4552,2024-11-18 00:00:00,menteşe,muğla,Koltuklu Scooter'a Ceza,  Muğla'da scooter'a koltuk ekleyen sürücüye 3 bin 12 TL ceza kesildi.  ,Ekonomik Suçlar
4557,2024-10-13 00:00:00,menteşe,muğla,Muğla'da Alkollü Sürücü Motosikletli Gençi Öldürdü,  Menteşe'de alkollü sürücünün çarptığı motosikletli genç hayatını kaybetti. Sürücü gözaltında.  ,Şiddet Suçları
4562,2024-11-15 00:00:00,meram,konya,Konya'da Bebek Terk Edildi,"  Konya'da yeni doğmuş bebeğini çöpe atan anne gözaltına alındı, bebeğe sağlık hizmeti verildi.  ",Şiddet Suçları
4563,2024-09-11 00:00:00,meram,konya,Konya'da Motosiklet Kazası: Sürücü Hayatını Kaybetti,"  Konya'da kırmızı ışık ihlali sonucu motosiklet otomobile çarparak kaza yaptı, sürücü öldü.  ",Şiddet Suçları
4564,2024-10-22 00:00:00,meram,konya,Konya'da Bıçaklama Cinayeti: 6 Tutuklama,"  Trafikte tartıştığı genci bıçaklayarak öldüren zanlı ve 6 şüpheli tutuklandı, 2 kişi serbest bırakıldı.  ",Şiddet Suçları
4578,2024-11-18 00:00:00,merkez,edirne,Uyuşturucu Testi İçin Giden Gençler Motosiklet Çaldı,"  Adana'da uyuşturucu testi için sağlık merkezine giden Kadir T. ve arkadaşı Mehmet D., dönüş yol paralarını bulamayınca bir apartmanın otoparkındaki motosikleti çaldılar. Olayın ardından yakalanan şüpheliler tutuklandı.  ",Mala Karşı İşlenen Suçlar
4582,2024-10-30 00:00:00,merkezefendi,denizli,Denizli'de Yalnız Adamın Cesedi Bulundu,"  Yalnız yaşayan 66 yaşındaki adam, sokak köpeklerinin tepki vermesi üzerine bulundu.  ",Şiddet Suçları
4591,2024-11-26 14:14:00,mersin,mersin,Mersin'de Suç Örgütü Operasyonu,"  Mersin'de organize suç örgütüne yönelik operasyonda 7 şüpheli yakalandı, 5'i tutuklandı.  ",Organize Örgüt Suçları
4593,2024-11-26 11:38:00,mersin,mersin,"Mersin Büyükşehir Belediye Başkanı Seçer: ""Türkiye'de Adalet Anlayışı, Yargı Güvencesi Yok""","  Mersin Büyükşehir Belediye Başkanı Vahap Seçer, katıldığı bir programda, ""Kendini normalleştirmesi gereken Ak Parti’dir. Bugün baktığınız zaman onlar; mevcut uygulamaları sanki normalmiş gibi topluma sunmaya ya da normalleştirmeye çalışıyor. Benim karşı olduğum budur. Türkiye’de adalet anlayışı, yargı güvencesi yok"" dedi.  ",Düzen ve Kamu Güvenliğine Karşı İşlenen Suçlar
4594,2024-11-26 14:02:00,mersin,mersin,Özgecan Aslan Mezarı Başında Anıldı,"  Mersin'de kadına şiddetin simgesi olan Özgecan Aslan, kadınlar tarafından mezarı başında anıldı. Kadınlar, şiddetle mücadele çağrısı yaptı ve eşit yetiştirme vurgusunu dile getirdi.  ",Şiddet Suçları
4598,2024-09-25 00:00:00,merzifon,amasya,Amasya'da Çocuk Otomobil Çarpmasıyla Hayatını Kaybetti,"  Merzifon'da hızla kaldırıma dalan otomobil, 15 yaşındaki çocuğa çarparak ölümüne neden oldu.  ",Şiddet Suçları
4603,2024-01-10 00:00:00,merzifon,amasya,Merzifon'da Rastgele Ateş Açan Saldırgan Yakalandı,"  Amasya'nın Merzifon ilçesinde, evinin penceresinden rastgele ateş açarak bir polisin yaralanmasına neden olan Himmet Çiftçi, polis ekipleri tarafından etkisiz hale getirilip gözaltına alındı. Psikolojik sorunları olduğu öğrenilen saldırgan, tutuklanarak cezaevine gönderildi.  ",Şiddet Suçları
4606,2024-06-01 00:00:00,mesudiye,ordu,Ordu'da otomobil dereye yuvarlandı: 3 kişi ağır yaralandı,"  Ordu'nun Mesudiye ilçesinde yoldaki buzlanma nedeniyle meydana gelen kazada, bir otomobil dereye yuvarlandı. Kazada sürücü ve yanındaki 2 kişi ağır yaralandı. Yaralılar, hastaneye kaldırılarak tedavi altına alındı. Jandarma, kaza ile ilgili inceleme başlattı.  ",Şiddet Suçları
4621,2024-06-10 00:00:00,midyat,mardin,Midyat'ta Yaya Kamyonetle Çarpıldı,  Mardin'in Midyat ilçesinde bir kamyonet yolun karşısına geçen bir yayaya çarparak yaralanmasına neden oldu.  ,Şiddet Suçları
4623,2024-11-09 00:00:00,midyat,mardin,15 Yaşındaki Feyzullah Tuna Hayatını Kaybetti,"  Mardin'in Midyat ilçesinde arkadaşlarıyla vakit geçiren Feyzullah Tuna (15), fenalaşarak hastanede hayatını kaybetti. Olayla ilgili soruşturma başlatılırken, cenazenin Şırnak'ın İdil ilçesine bağlı Çığır köyünde toprağa verileceği öğrenildi.  ",Şiddet Suçları
4628,2024-10-22 00:00:00,midyat,mardin,Kask takmayan motosiklet sürücüleri trafikte sohbet etti,"  Mardin'in Midyat ilçesinde kask takmayan iki motosiklet sürücüsü, trafikte yan yana sohbet etti.  ",Düzen ve Kamu Güvenliğine Karşı İşlenen Suçlar
4636,2023-09-26 00:00:00,mihalgazi,eskişehir,12 Yıl Önce Öldürülen Kadının Cesedi Aranıyor,"  Eskişehir'de 12 yıl önce kaybolan ve erkek arkadaşı tarafından öldürüldüğü ortaya çıkan kadının cesedinin bulunması için arama çalışması başlatıldı. Sibel Yenigün'ün cesedi, uçurumdan atıldığı düşünülen Mihalgazi İlçesi'ndeki ormanlık alanda aranıyor.  ",Şiddet Suçları
4644,2023-07-15 00:00:00,mihalıççık,eskişehir,Eskişehir'de kaybolan yaşlı adam ölü bulundu,"  Eskişehir'in Mihalıççık ilçesinde kaldıkları yaşlı bakım evinden ayrılan ve kendilerinden haber alınamayan iki kişiden biri tarlada ölü, diğeri ise sağ olarak bulundu. Alzheimer hastası Mehmet Taşkın'ın cansız bedeni bir tarlada bulunurken, Osman Nalbant isimli vatandaşın ise sağlık durumu iyi olduğu belirtildi.  ",Şiddet Suçları
4645,2024-10-21 00:00:00,milas,muğla,Milas'ta Market Hırsızlığı,  Muğla'nın Milas ilçesinde 4 kişi marketin önündeki dolaptan yiyecek çaldı. Güvenlik kameraları kaydetti.  ,Mala Karşı İşlenen Suçlar
4646,2024-07-11 00:00:00,milas,muğla,Çocuğu Öldürmekten Aranan Şahıs Yakalandı,"  Muğla'da, çocuğu kasten öldürmekten 11 yıl hapis cezası bulunan İ.C.D. yakalandı ve tutuklandı.  ",Şiddet Suçları
4650,2024-10-19 00:00:00,milas,muğla,Milas'ta Uyuşturucu Operasyonu,"  Muğla'nın Milas ilçesinde 5 kilo metamfetamin ele geçirildi, 4 şüpheli gözaltına alındı.  ",Narkotik Suçları
4651,2024-10-25 00:00:00,milas,muğla,Motosiklet Kazasında Çocuk Yaralandı,  Muğla'nın Milas ilçesinde motosikletin çarpması sonucu 9 yaşındaki çocuk yaralandı.  ,Şiddet Suçları
4652,2024-10-30 00:00:00,milas,muğla,Kaybolan 11 Yaşındaki Ayşe Güler için Arama Başlatıldı,  Muğla'nın Milas ilçesinde kaybolan 11 yaşındaki Ayşe Güler için polis geniş çaplı arama başlattı.  ,Şiddet Suçları
4654,2023-04-11 00:00:00,mucur,kırşehir,Kırşehir'de Otomobil Şarampole Devrildi: 1 Ölü,"  Kırşehir'in Mucur ilçesinde meydana gelen trafik kazasında, otomobil şarampole devrildi ve sürücü hayatını kaybetti. Kazayla ilgili soruşturma başlatıldı.  ",Şiddet Suçları
4656,2022-08-20 00:00:00,mucur,kırşehir,20 GÜNLÜK BEBEĞİNİ DÖVEREK ÖLDÜRDÜĞÜ İDDİA EDİLEN ANNE TUTUKLANDI,"  KIRŞEHİR'in Mucur ilçesinde, 20 günlük erkek bebeğini döverek öldürdüğü iddia edilen anne Z.A., gözaltına alındı.  ",Şiddet Suçları
4657,2022-08-20 00:00:00,mucur,kırşehir,20 günlük çocuğunu döverek öldürdü,  20 günlük çocuğunu döverek öldürdü Kırşehir'in Mucur ilçesinde psikolojik sorunları olduğu iddia edilen anne; 20 günlük çocuğunu döverek öldürdü.  ,Şiddet Suçları
4659,2022-04-10 00:00:00,mucur,kırşehir,Son dakika haber! Düğünde silahla yaralamaya 1 tutuklama,  Son dakika haber: KIRŞEHİR'in Mucur ilçesindeki düğünde bir kişinin havaya açılan ateşle yaralanmasına ilişkin gözaltına alınan 11 şüpheliden 1'i tutuklandı.  ,Şiddet Suçları
4661,2024-11-14 00:00:00,mudanya,bursa,"Mudanya'da Kaza: 1 Ölü, 7 Yaralı",  Mudanya'da mevsimlik işçileri taşıyan kamyonetin ağaca çarpması sonucu 1 kişi hayatını kaybetti.  ,Şiddet Suçları
4664,2024-10-13 00:00:00,mudanya,bursa,Mudanya Triatlon'da Kaza: İki Yaralı,"  Bursa Mudanya Triatlon yarışında bisikletçi yaşlı adama çarptı, iki kişi yaralandı.  ",Şiddet Suçları
4673,2024-07-10 00:00:00,mudurnu,bolu,Mudurnu'da uçuruma yuvarlanan otomobilde iki kişi hayatını kaybetti,"  Bolu'nun Mudurnu ilçesinde kontrolden çıkan bir otomobil, uçuruma yuvarlanarak alev aldı. Olayda araçtaki 2 kişi hayatını kaybetti.  ",Şiddet Suçları
4674,2024-09-09 00:00:00,mudurnu,bolu,Mudurnu'da Traktör Kazası: İbrahim Şahin Hayatını Kaybetti,"  Bolu'nun Mudurnu ilçesinde römorktan düşerek ağır yaralanan İbrahim Şahin, hastanedeki 8 günlük yaşam mücadelesini kaybetti. Şahin'in cenazesi köy camisinde kılınan namazın ardından defnedilecek.  ",Şiddet Suçları
4675,2024-10-16 00:00:00,mudurnu,bolu,"Bolu'da Traktör Kazası: 1 Ölü, 1 Yaralı","  Bolu'da kontrolden çıkan traktör ağaca çarptı, 1 kişi hayatını kaybetti, 1 kişi yaralandı.  ",Şiddet Suçları
4681,2024-10-09 00:00:00,muradiye,van,Pizza Restoranındaki Silahlı Saldırı,"  Manisa'nın Yunusemre ilçesine bağlı Muradiye Mahallesi'ndeki bir pizza restoranında meydana gelen silahlı saldırıda 1 kişi hayatını kaybetti, 1 kişi yaralandı. Saldırının ardından zanlı hakim karşısına çıktı ve cinayeti planladığı ortaya çıktı.  ",Şiddet Suçları
